,site,year,species,nestID,loc_Year_nestID,plot,Nest_location_northing_WGS84_Dec_degree,Nest_location_Easting_WGS84_Dec_degree,Photo_taken,temp_probe,Trapped(y/n),First_Trapping_date,Second_Trapping_date,Third_Trapping_date,Mayfield_start_date (formula),Mayfield_end date (formula),Mayfield_end_date (formula)_source,Mayfield_days (formula),Fate ,fail cause,Completed_Clutch_Size,Observed_Clutch_Completion_date,#_of_Eggs_Hatched,Hatch_Date,Method_Hatch_Date_Determined,Estimated Nest Initiation Date,Estimated_nest_initiation_date_source,Inc_duration_used_for_estimated_nest_initiation_calculation,Clutch_size_when_nest_found,Clutch_status_when_nest_found,Date Found ,Last Active,Last Checked,June 1st,June 2nd,June 3rd,June 4th,June 5th,June 6th,June 7th,June 8th,June 9th,June 10th,June 11th,June 12th,June 13th,June 14th,June 15th,June 16th,June 17th,June 18th,June 19th,June 20th,June 21st,June 22nd,June 23rd,June 24th,June 25th,June 26th,June 27th,June 28th,June 29th,June 30th,July 1st,July 2nd,July 3rd,July 4th,July 5th,July 6th,July 7th,July 8th,July 9th,July 10th,July 11th,July 12th,July 13th,July 14th,July 15th,July 16th,July 17th,July 18th,July 19th,July 20th,July 21st,July 22nd,July 23rd,July 24th,July 25th,July 26th,July 27th,July 28th,July 29th,July 30th,July 31st,August 1st,August 2nd,August 3rd,August 4th,August 5th,Notes_Field,,
,East Bay Mainland,2001,RUTU,RUTU20,e2001-RUTU20,,63.99264,-81.69906,,,,,,,27-Jun-2001,07-Jul-2001,hatch date,10,success,na,4,,3,07-Jul-2001,estimate,11-Jun-2001,hatch_date_minus_incubation_duration,22.5,4,complete,27-Jun-2001,06-Jul-2001,21-Jul-2001,,,,,,,,,,,,,,,,,,,,,,,,,,,4 Eggs (1601h),,,,,4 (2057h),,,,"2 Pip, 2 Star (1201h)",,1 Cold Pip,,,,,,,,,,,,,1 Pipped Egg!,,,,,,,,,,,,,,,,,,
,East Bay Mainland,2001,RUTU,RUTU21,e2001-RUTU21,,63.99694,-81.72228,,,,,,,02-Jul-2001,08-Jul-2001,hatch date,6,success,na,4,,4,08-Jul-2001,estimate,12-Jun-2001,hatch_date_minus_incubation_duration,22.5,4,complete,02-Jul-2001,06-Jul-2001,08-Jul-2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4 Eggs (1645h),,,,"3 Star, 1 Pip. (1050h)",,"Empty, Bits (1704h)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,East Bay Mainland,2001,RUTU,RUTU22,e2001-RUTU22,,63.99719,-81.71883,,,,,,,19-Jun-2001,10-Jul-2001,hatch date,21,success,na,4,,4,10-Jul-2001,chick seen,14-Jun-2001,hatch_date_minus_incubation_duration,22.5,4,complete,19-Jun-2001,10-Jul-2001,10-Jul-2001,,,,,,,,,,,,,,Lay?,,,,,4 Eggs,,,,,,,,,,,,,,4 No *,,,,,4 Stars (1655h),,"3 Chk., 0 Eggs (1912h)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,East Bay Mainland,2001,RUTU,RUTU23,e2001-RUTU23,,63.99447,-81.73619,,,,,,,19-Jun-2001,26-Jun-2001,date between last active and last checked,7.5,failed,predated,4,,0,,,16-Jun-2001,before_this_date_not_floated,22.5,4,complete,19-Jun-2001,19-Jun-2001,04-Jul-2001,,,,,,,,,,,,,,,,,,,4 Eggs,,,,,,,,,,,,,,,0,,,,"""Done""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,East Bay Mainland,2001,RUTU,RUTU24,e2001-RUTU24,,63.99528,-81.72950,,,,,,,08-Jul-2001,11-Jul-2001,date last active,3,unknown,na,4,,unk,,,05-Jul-2001,before_this_date_not_floated,22.5,4,complete,08-Jul-2001,11-Jul-2001,11-Jul-2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4 Eggs (1742h),,,4 Light (1244h),,Couldn't Find?,,,,,,,,,,,,,,,,,,,,,,,,,,
,East Bay Mainland,2001,RUTU,RUTU25,e2001-RUTU25,,63.99586,-81.73203,,,,,,,09-Jul-2001,10-Jul-2001,hatch date,1,success,na,4,,3-4,10-Jul-2001,chick seen,14-Jun-2001,hatch_date_minus_incubation_duration,22.5,4,complete,09-Jul-2001,10-Jul-2001,21-Jul-2001,,,,,,,,,,,,,,Lay?,,,,,,,,,,,,,,,,,,,,,,,,,"3 Stars, 1 Noth. (1210h)","3 Chicks, 1 Noth. (2007h)",,,,,,,,,,,1 broken egg,,,,,,,,,,,,,,,,,,
,East Bay Mainland,2001,RUTU,RUTU26,e2001-RUTU26,,63.99478,-81.72836,,,,,,,09-Jul-2001,13-Jul-2001,hatch date,4,success,na,4,,4,13-Jul-2001,estimate,17-Jun-2001,hatch_date_minus_incubation_duration,22.5,4,complete,09-Jul-2001,12-Jul-2001,12-Jul-2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4 Eggs, No Stars ",,4* (1316h),"2 pip. 1*, (1922h)",,,,,,,,,,,,,,,,,,,,,,,,,,,
,East Bay Mainland,2001,RUTU,RUTU27,e2001-RUTU27,,63.99233,-81.72936,,,,,,,10-Jul-2001,11-Jul-2001,date between last active and last checked,1.5,failed,predated,4,,0,,,07-Jul-2001,before_this_date_not_floated,22.5,4,complete,10-Jul-2001,10-Jul-2001,13-Jul-2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4 Med Wt. (2020h),,,0 Dep? (1427h),,,,,,,,,,,,,,,,,,,,,,,,,,
,East Bay Mainland,2001,RUTU,RUTU28,e2001-RUTU28,,63.99358,-81.72411,,,,,,,12-Jul-2001,,date between last active and last checked,0,failed,abandon,4,,0,,,,,22.5,4,complete,12-Jul-2001,,17-Jul-2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4 Cold (1916h),,,,,Empty (1909h),,,,,,,,,,,,,,,,,,,,,,
,East Bay Mainland,2001,SAGU,SAGU-100,e2001-SAGU-100,,63.99425,-81.73170,,,,,,,06-Jul-2001,06-Jul-2001,date between last active and last checked,0,failed,predated,1,,0,,,,,21,1,unknown,06-Jul-2001,06-Jul-2001,06-Jul-2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,East Bay Mainland,2001,SAGU,SAGU-101,e2001-SAGU-101,,63.99391,-81.73967,,,,,,,07-Jul-2001,08-Jul-2001,date between last active and last checked,1,failed,predated,2,,0,,,,,21,2,complete,07-Jul-2001,08-Jul-2001,08-Jul-2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2e,2e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,East Bay Mainland,2001,SAGU,SAGU-102,e2001-SAGU-102,,63.99533,-81.72400,,,,,,,10-Jul-2001,10-Jul-2001,hatch date,0,success,na,3,,3,10-Jul-2001,chick seen,19-Jun-2001,Date_found_minus _incomplete_clutch_size+1,21,3,complete,10-Jul-2001,12-Jul-2001,12-Jul-2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1e stared, 2 chicks","1e, piped, 2 chicks",3 chicks,,,,,,,,,,,,,,,,,,,,,,,,,,,
,East Bay Mainland,2001,SAGU,SAGU-74,e2001-SAGU-74,,63.99597,-81.72656,,,,,,,18-Jun-2001,07-Jul-2001,hatch date,19,success,na,3,18-Jun-2001,3,07-Jul-2001,chick seen,14-Jun-2001,Date_found_minus _incomplete_clutch_size+1,21,1,incomplete,15-Jul-2001,10-Jul-2001,10-Jul-2001,,,,,,,,,,,,,,,1 egg,,,2e,,,,,,,,,,,,,,,,"3eggs, 1 star",,"3 eggs, 1 star, 1 pip","2 eggs, 1 star, 1 pip, 1 chick","1 egg, stared, 2 chicks","1 egg, pipped, 2 chicks",3 chicks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,East Bay Mainland,2001,SAGU,SAGU-75,e2001-SAGU-75,,63.99733,-81.69981,,,,,,,18-Jun-2001,07-Jul-2001,hatch date,19,success,na,3,18-Jun-2001,2,07-Jul-2001,chick seen,16-Jun-2001,Date_found_minus _incomplete_clutch_size+1,21,1,incomplete,16-Jun-2001,08-Jul-2001,09-Jul-2001,,,,,,,,,,,,,,,,1 egg,,,3 eggs,,,,,,,,,,,,,,,,"3eggs, 1 star","3 eggs, 1 star, 1 pip","2 eggs, one pip, one chick","1 egg, 2 chicks",one egg (abandoned),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,East Bay Mainland,2001,SAGU,SAGU-76,e2001-SAGU-76,,63.99677,-81.70248,,,,,,,16-Jun-2001,21-Jun-2001,date between last active and last checked,5.5,failed,predated,3,,0,,,16-Jun-2001,Date_found_minus _incomplete_clutch_size+1,21,1,unknown,16-Jun-2001,16-Jun-2001,27-Jun-2001,,,,,,,,,,,,,,,,1 egg,,,,,,,,,,,depredated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,East Bay Mainland,2001,SAGU,SAGU-78,e2001-SAGU-78,,63.99380,-81.71031,,,,,,,18-Jun-2001,09-Jul-2001,hatch date,21,success,na,2,,2,09-Jul-2001,chick seen,17-Jun-2001,Date_found_minus _incomplete_clutch_size+1,21,2,complete,18-Jun-2001,09-Jul-2001,09-Jul-2001,,,,,,,,,,,,,,,,,,2 eggs,,,,,,,,,,,,,,,,,"2 eggs, 1 star",2 eggs 2 stars,"2 eggs, 1 star 1 pip",1 pip one chick,2 chicks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,East Bay Mainland,2001,SAGU,SAGU-79,e2001-SAGU-79,,63.99380,-81.72200,,,,,,,19-Jun-2001,09-Jul-2001,hatch date,20,success,na,3,19-Jun-2001,1,09-Jul-2001,chick seen,17-Jun-2001,Date_found_minus _incomplete_clutch_size+1,21,2,incomplete,18-Jun-2001,10-Jul-2001,12-Jul-2001,,,,,,,,,,,,,,,,,,2eggs,3 eggs,3e,,,,,,,,,,,,,,,,,,"3e, all stars","2e, 1 stared, one piped, one dead chick",1 egg (stared) one chick alive (and one dead),,1 e piped (abandoned),,,,,,,,,,,,,,,,,,,,,,,,,,,
,East Bay Mainland,2001,SAGU,SAGU-80,e2001-SAGU-80,,63.99427,-81.73025,,,,,,,18-Jun-2001,25-Jun-2001,date between last active and last checked,7,failed,predated,3,,0,,,,,21,3,complete,18-Jun-2001,18-Jun-2001,02-Jul-2001,,,,,,,,,,,,,,,,,,3 eggs,,,,,,,,,,,,,,depredated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,East Bay Mainland,2001,SAGU,SAGU-81,e2001-SAGU-81,,63.99680,-81.72086,,,,,,,19-Jun-2001,09-Jul-2001,hatch date,20,success,na,2,,2,09-Jul-2001,chick seen,17-Jun-2001,Date_found_minus _incomplete_clutch_size+1,21,2,complete,19-Jun-2001,10-Jul-2001,10-Jul-2001,,,,,,,,,,,,,,,,,,,2 eggs,,,,,,,,,,,,,,,,,"2e, 1 star","2e, both stared","2e 1 star, 1 pip","1e piped, 1 chick",2 chicks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,East Bay Mainland,2001,SAGU,SAGU-82,e2001-SAGU-82,,63.99672,-81.72431,,,,,,,21-Jun-2001,11-Jul-2001,hatch date,20,success,na,3,21-Jun-2001,3,11-Jul-2001,chick seen,20-Jun-2001,Date_found_minus _incomplete_clutch_size+1,21,1,incomplete,19-Jun-2001,14-Jul-2001,14-Jul-2001,,,,,,,,,,,,,,,,,,,1 egg,2 eggs,,,,,,,3 eggs,,,,,,,,,,,"3 e, 1 star","3e, 2 star",3 e 1 star 1 pip,2 e 1 pip one star 1 chick,"1 egg, piped, 2 chicks",,3 chicks,,,,,,,,,,,,,,,,,,,,,,,,,
,East Bay Mainland,2001,SAGU,SAGU-83,e2001-SAGU-83,,63.99627,-81.72606,,,,,,,20-Jun-2001,10-Jul-2001,hatch date,20,success,na,3,20-Jun-2001,2,10-Jul-2001,chick seen,19-Jun-2001,Date_found_minus _incomplete_clutch_size+1,21,2,incomplete,19-Jun-2001,12-Jul-2001,12-Jul-2001,,,,,,,,,,,,,,,,,,,2e,3e,,,,,,,,,,,,,,,,,,3e 1 star,3 e 1 star 1 pip,"2e, 1 star 1 pip, 1 chick","1e, stared, 2 chicks","1e, piped(dead), 2 chicks",,,,,,,,,,,,,,,,,,,,,,,,,,,
,East Bay Mainland,2001,SAGU,SAGU-84,e2001-SAGU-84,,63.99258,-81.73250,,,,,,,19-Jun-2001,22-Jun-2001,date between last active and last checked,3.5,failed,predated,1,,0,,,,,21,1,unknown,19-Jun-2001,19-Jun-2001,26-Jun-2001,,,,,,,,,,,,,,,,,,,1e,,,,,,,depredated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,East Bay Mainland,2001,SAGU,SAGU-85,e2001-SAGU-85,,63.99611,-81.73009,,,,,,,22-Jun-2001,12-Jul-2001,hatch date,20,success,na,3,22-Jun-2001,2,12-Jul-2001,chick seen,19-Jun-2001,Date_found_minus _incomplete_clutch_size+1,21,2,incomplete,21-Jun-2001,14-Jul-2001,14-Jul-2001,,,,,,,,,,,,,,,,,,,,,2e,3e,,,,2e,,,,,,,,,,,,,,"2e, 1 star",2e 1 star 1 pip,"1e, stared, 1 chick","1 e, piped, 1 chick",2 chicks,,,,,,,,,,,,,,,,,,,,,,,,,
,East Bay Mainland,2001,SAGU,SAGU-86,e2001-SAGU-86,,63.99436,-81.73520,,,,,,,21-Jun-2001,08-Jul-2001,date between last active and last checked,17.5,failed,predated,3,21-Jun-2001,0,,,19-Jun-2001,Date_found_minus _incomplete_clutch_size+1,21,2,incomplete,20-Jun-2001,21-Jun-2001,26-Jul-2001,,,,,,,,,,,,,,,,,,,,2e,3e,,,,,depredated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,East Bay Mainland,2001,SAGU,SAGU-87,e2001-SAGU-87,,63.99447,-81.73667,,,,,,,20-Jun-2001,20-Jun-2001,date between last active and last checked,0,failed,abandon,3,,0,,,,,21,3,complete,20-Jun-2001,20-Jun-2001,20-Jun-2001,,,,,,,,,,,,,,,,,,,,3e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,three eggs rotten,,
,East Bay Mainland,2001,SAGU,SAGU-88,e2001-SAGU-88,,63.99330,-81.74070,,,,,,,20-Jun-2001,09-Jul-2001,hatch date,19,success,na,3,,1,09-Jul-2001,chick seen,16-Jun-2001,Date_found_minus _incomplete_clutch_size+1,21,3,complete,20-Jun-2001,10-Jul-2001,10-Jul-2001,,,,,,,,,,,,,,,,,,,,3e,,,,,,,,,,,,,,,"3e, 1 star","3e, 1 star, 1 pip","3e, 2 star, 1 pip","1e,starred,  1 chick , 1 egg died pipping","1e piping, 1 chick (+1 dead egg)",1e died piping 1 chick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,East Bay Mainland,2001,SAGU,SAGU-89,e2001-SAGU-89,,63.99314,-81.73725,,,,,,,20-Jun-2001,23-Jun-2001,date between last active and last checked,3,failed,predated,3,,0,,,,,21,3,complete,20-Jun-2001,20-Jun-2001,26-Jun-2001,,,,,,,,,,,,,,,,,,,,3e,,,,,,depredated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,East Bay Mainland,2001,SAGU,SAGU-90,e2001-SAGU-90,,63.99883,-81.68817,,,,,,,20-Jun-2001,22-Jun-2001,date between last active and last checked,2,failed,predated,3,,0,,,,,21,3,complete,20-Jun-2001,21-Jun-2001,23-Jun-2001,,,,,,,,,,,,,,,,,,,,3e,3e,,depredated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,East Bay Mainland,2001,SAGU,SAGU-91,e2001-SAGU-91,,63.99702,-81.72389,,,,,,,21-Jun-2001,12-Jul-2001,hatch date,21,success,na,3,,3,12-Jul-2001,chick seen,21-Jun-2001,Date_found_minus _incomplete_clutch_size+1,21,3,complete,21-Jun-2001,13-Jul-2001,13-Jul-2001,,,,,,,,,,,,,,,,,,,,,3e,3e,,,,,,,,,,,,,,,,,,"3e, all stared","2e, 1 chick","1e, 2 chick",3 chick,,,,,,,,,,,,,,,,,,,,,,,,,,
,East Bay Mainland,2001,SAGU,SAGU-92,e2001-SAGU-92,,63.99311,-81.73334,,,,,,,24-Jun-2001,14-Jul-2001,hatch date,20,success,na,3,24-Jun-2001,1,14-Jul-2001,chick seen,23-Jun-2001,Date_found_minus _incomplete_clutch_size+1,21,1,incomplete,21-Jun-2001,14-Jul-2001,14-Jul-2001,,,,,,,,,,,,,,,,,,,,,1e,1e,,,,3e,,,,,,,,,,,,,,,2e lost(?) 1e stared,,1e piped,1 chick,,,,,,,,,,,,,,,,,,,,,,,,,
,East Bay Mainland,2001,SAGU,SAGU-93,e2001-SAGU-93,,63.99747,-81.71292,,,,,,,22-Jun-2001,12-Jul-2001,hatch date,20,success,na,3,,3,12-Jul-2001,chick seen,21-Jun-2001,Date_found_minus _incomplete_clutch_size+1,21,3,complete,22-Jun-2001,13-Jul-2001,13-Jul-2001,,,,,,,,,,,,,,,,,,,,,,3 e,,,,,,,,,,,,,,,,,,"3e, 2 stared","3e, 1 stared, 2 piped","1e, 2 chicks",3 chicks,,,,,,,,,,,,,,,,,,,,,,,,,,
,East Bay Mainland,2001,SAGU,SAGU-94,e2001-SAGU-94,,63.99388,-81.71011,,,,,,,23-Jun-2001,02-Jul-2001,date between last active and last checked,9,failed,predated,2,23-Jun-2001,0,,,22-Jun-2001,Date_found_minus _incomplete_clutch_size+1,21,1,incomplete,22-Jun-2001,23-Jun-2001,11-Jul-2001,,,,,,,,,,,,,,,,,,,,,,1e,2e,,,,,,,,,,,,,,,,,,2e depredated,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,East Bay Mainland,2001,SAGU,SAGU-95,e2001-SAGU-95,,63.99489,-81.73042,,,,,,,23-Jun-2001,11-Jul-2001,hatch date,18,success,na,3,,3,11-Jul-2001,chick seen,20-Jun-2001,Date_found_minus _incomplete_clutch_size+1,21,3,complete,23-Jun-2001,14-Jul-2001,14-Jul-2001,,,,,,,,,,,,,,,,,,,,,,,3e,,,,,,,,,,,,,,,,"3e, 1 stared","3e, 2 stared","2e, 2 stared 1 piped, 1 chick","1e piped, 2 chicks",,3 chicks,,,,,,,,,,,,,,,,,,,,,,,,,
,East Bay Mainland,2001,SAGU,SAGU-96,e2001-SAGU-96,,63.99252,-81.73048,,,,,,,23-Jun-2001,27-Jun-2001,date between last active and last checked,4.5,failed,predated,3,,0,,,,,21,3,complete,23-Jun-2001,23-Jun-2001,02-Jul-2001,,,,,,,,,,,,,,,,,,,,,,,3e,,,,,,,,,depredated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,East Bay Mainland,2001,SAGU,SAGU-97,e2001-SAGU-97,,63.99355,-81.73236,,,,,,,22-Jun-2001,05-Jul-2001,date between last active and last checked,13,failed,predated,2,,0,,,,,21,2,complete,22-Jun-2001,26-Jun-2001,14-Jul-2001,,,,,,,,,,,,,,,,,,,,,,2e,,,,2e,,,,,,,,,,,,,,,,,,depredated,,,,,,,,,,,,,,,,,,,,,,,,,
,East Bay Mainland,2001,SAGU,SAGU-98,e2001-SAGU-98,,63.99516,-81.72875,,,,,,,02-Jul-2001,12-Jul-2001,hatch date,10,success,na,3,,1,12-Jul-2001,chick seen,21-Jun-2001,Date_found_minus _incomplete_clutch_size+1,21,3,complete,02-Jul-2001,14-Jul-2001,14-Jul-2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3e,,,,,,,,"3e, 1 star","3e, 1 pip","2e, one died pipping, 1 chick","2 e, 1 stared 1 dead, 1 chick","2e, 1 piped 1 dead, 1 chick",,,,,,,,,,,,,,,,,,,,,,,,,
,East Bay Mainland,2001,SAGU,SAGU-99,e2001-SAGU-99,,63.99261,-81.73739,,,,,,,04-Jul-2001,21-Jul-2001,hatch date,17,success,na,3,,2,21-Jul-2001,chick seen,28-Jun-2001,Date_found_minus _incomplete_clutch_size+1,21,3,complete,04-Jul-2001,21-Jul-2001,21-Jul-2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3e,,,,,,,,,,,,,,"3e, 2 stared","2e, 1 stared, 1 chick",,"2 chick 1 egg ""addled""",,,,,,,,,,,,,,,,,,
,East Bay Mainland,2001,SEPL,SEPLN01,e2001-SEPLN01,,63.99836,-81.70064,,,,,,,15-Jun-2001,11-Jul-2001,hatch date,26,success,na,4,,2-4,11-Jul-2001,chick seen,14-Jun-2001,hatch_date_minus_incubation_duration,24,4,complete,15-Jun-2001,11-Jul-2001,18-Jul-2001,,,,,,,,,,,,,,,4@1710h,,,,,,,,4@1222h,,,,,,,,4,,,,"4, no*, 1524h, 2*@1900h",,"4 no*, 1240h",,,"4, 1 hatching, 3*, 1600h",2 chicks banded,,,,,,,bird present,,,,,,,,,,,,,,,,,,,,,
,East Bay Mainland,2001,SEPL,SEPLN03,e2001-SEPLN03,,63.99847,-81.72589,,,,,,,19-Jun-2001,02-Jul-2001,date between last active and last checked,13,failed  ,predated,4,,0,,,16-Jun-2001,before_this_date_not_floated,24,4,complete,19-Jun-2001,02-Jul-2001,02-Jul-2001,,,,,,,,,,,,,,,,,,,4@1330h,"1 egg, others gone, 1517h",,"1 egg still present, sepl still nearby (may have relaid?)",,,,,,,,,,active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,East Bay Mainland,2001,SEPL,SEPLN04,e2001-SEPLN04,,63.99903,-81.69733,,,,,,,15-Jun-2001,07-Jul-2001,hatch date,22,success,na,4,,3-4,07-Jul-2001,chick seen,10-Jun-2001,hatch_date_minus_incubation_duration,24,4,complete,15-Jun-2001,10-Jul-2001,18-Jul-2001,,,,,,,,,,,,,,,4@1927h ,,,,,,,,4@1203h,,,,,,,,"1 cracked/leaking, 3no*",bird on,,,"3, 2*, 1350h",,"3 chicks, 1147h",,,2 chicks seen..,,,,,,,,bird present,,,,,,,,,,,,,,,,,,,,,
,East Bay Mainland,2001,SEPL,SEPLN05,e2001-SEPLN05,,63.99778,-81.71992,,,,,,,20-Jun-2001,21-Jun-2001,date between last active and last checked,1,failed,predated,4,20-Jun-2001,0,,,17-Jun-2001,egg floating,24,3,incomplete,20-Jun-2001,20-Jun-2001,22-Jun-2001,,,,,,,,,,,,,,,,,Lay?,,3@1827,4@1800h,,"0 eggs, 1755h",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,East Bay Mainland,2001,SEPL,SEPLN07,e2001-SEPLN07,,,,,,,,,,20-Jun-2001,22-Jun-2001,date between last active and last checked,2.5,failed,predated,4,,0,,,17-Jun-2001,before_this_date_not_floated,24,4,complete,20-Jun-2001,20-Jun-2001,25-Jun-2001,,,,,,,,,,,,,,,,,,,,4@1700h,,,,,"0eggs, 1458h",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no GPS coordinates,,
,East Bay Mainland,2001,SEPL,SEPLN08,e2001-SEPLN08,,63.99814,-81.70497,,,,,,,20-Jun-2001,12-Jul-2001,hatch date,22,success,na,4,,4,12-Jul-2001,chick seen,15-Jun-2001,hatch_date_minus_incubation_duration,24,4,complete,20-Jun-2001,12-Jul-2001,18-Jul-2001,,,,,,,,,,,,,,,,Lay?,,,,4@1857h,,,,,4@1144h,,,,,,"4, no*",,,,4,,"4 no*, 1245h",,,"4*, 1728h","4 heavy *'s, 1410h","4 chicks banded, 1345h",,,,,,bird present,,,,,,,,,,,,,,,,,,,,,
,East Bay Mainland,2001,SEPL,SEPLN09,e2001-SEPLN09,,63.99483,-81.71717,,,,,,,24-Jun-2001,18-Jul-2001,hatch date,24,success,na,4,24-Jun-2001,3-4,18-Jul-2001,chick seen,21-Jun-2001,hatch_date_minus_incubation_duration,24,2,incomplete,22-Jun-2001,18-Jul-2001,18-Jul-2001,,,,,,,,,,,,,,,,,,,,,Lay?,2@1229h,,,4@1536h,,,,,,4@1657h,,,,4,,,,4,"4 no*, 2135h","4, no*, 1830h",,,,"4 eggs, no*, 1400h?",,,"3 chicks, 1 egg no*, 2230h",,,,,,,,,,,,,,,,,,,,,
,East Bay Mainland,2001,SEPL,SEPLN10,e2001-SEPLN10,,63.99925,-81.72344,,,,,,,22-Jun-2001,11-Jul-2001,hatch date,19,success,na,4,,2-4,11-Jul-2001,chick seen,14-Jun-2001,hatch_date_minus_incubation_duration,24,4,complete,22-Jun-2001,11-Jul-2001,11-Jul-2001,,,,,,,,,,,,,,,,,,,,,,4@1634h,,,4@1320h,,,,,,4@1517h,active,,,4,,"1 no*, 3?, ",2 chicks banded,,,"2 chicks, 1500h",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,East Bay Mainland,2001,SEPL,SEPLN11,e2001-SEPLN11,,63.99667,-81.69525,,,,,,,22-Jun-2001,14-Jul-2001,date last active,22,unknown,na,4,,unk,,,19-Jun-2001,before_this_date_not_floated,24,4,complete,22-Jun-2001,14-Jul-2001,14-Jul-2001,,,,,,,,,,,,,,,,,,,,,,4@1950h,4@1250h,,4@1218h,,,,,,4@1255h (e. broke one),,,,3,,"3, no*, 1250h",,3,"3, no*, 2015h","3, 1 heavy *, 1430h","3 eggs, 1 light*, 1420h",2 chicks banded????? That's what we're going with),"3 eggs, 1 pip, 2 heavy*, 1900h (Actually nest 12??? And then they came back to the nest to brood on the 15th??)",,,,bird present,,,,,,,,,,,,,,,,,,,,,
,East Bay Mainland,2001,SEPL,SEPLN12,e2001-SEPLN12,,63.99719,-81.69742,,,,,,,22-Jun-2001,15-Jul-2001,hatch date,23,success,na,4,,4,15-Jul-2001,chick seen,18-Jun-2001,hatch_date_minus_incubation_duration,24,4,complete,22-Jun-2001,15-Jul-2001,18-Jul-2001,,,,,,,,,,,,,,,,,,,Lay?,,,4@1904h,4@1305h,,present…,,,4@1553h,,,"4, 1 cracked 1310h",,,,4,,"4 ,no*, 1300h",,"4, 1 cracked, cast aside, 1310h","4, 1 cracked, 3*, 2105h","4, 1 cracked, 3*, 1435h","4 eggs, 1 cracked/moved, 3*, alive (1430h)",,"4, 2 pip, 2heavy *, 1130h",4 chicks banded @ 1130h,,,bird present,,,,,,,,,,,,,,,,,,,,,
,East Bay Mainland,2001,SEPL,SEPLN13,e2001-SEPLN13,,63.99933,-81.69503,,,,,,,02-Jul-2001,14-Jul-2001,date last active,12,unknown,na,4,,unk,,,29-Jun-2001,before_this_date_not_floated,24,4,complete,02-Jul-2001,14-Jul-2001,14-Jul-2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"renest of n3!, 1500h",,active,,,,4,,,"4, no*, 1500h",,,"4 eggs, no* ",,,,"eggs gone, sepl present, fledged?",,,,,,,,,,,,,,,,,,,,,
,East Bay Mainland,2001,SEPL,SEPLN14,e2001-SEPLN14,,63.99528,-81.74031,,,,,,,02-Jul-2001,21-Jul-2001,date last active,19,unknown,na,4,,unk,,,29-Jun-2001,before_this_date_not_floated,24,4,complete,02-Jul-2001,21-Jul-2001,21-Jul-2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4@1820h,,,,,,4,4@1330h,,"4, n0*, 1720h",,,"4 eggs, no*, 1430h",,,,"4 eggs, no*, warm ",,,"4 eggs, 1335h",,,,,,,,,,,,,,,,,,
